Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit,Order Month,Order Year,Shipping Days,Discount Tiers
2016-11-08,2016-11-11,Second Class,CG-12520,Claire Gute,Consumer,United States,Henderson,KY,42420,South,Furniture,Bookcases,261.96,2,0.0,41.9136,November,2016,3 days,0%
2016-11-08,2016-11-11,Second Class,CG-12520,Claire Gute,Consumer,United States,Henderson,KY,42420,South,Furniture,Chairs,731.94,3,0.0,219.582,November,2016,3 days,0%
2016-06-12,2016-06-16,Second Class,DV-13045,Darrin Van Huff,Corporate,United States,Los Angeles,CA,90036,West,Office Supplies,Labels,14.62,2,0.0,6.8714,June,2016,4 days,0%
2015-10-11,2015-10-18,Standard Class,SO-20335,Sean O'Donnell,Consumer,United States,Fort Lauderdale,FL,33311,South,Furniture,Tables,957.5775,5,0.45,-383.031,October,2015,7 days,>30%
2015-10-11,2015-10-18,Standard Class,SO-20335,Sean O'Donnell,Consumer,United States,Fort Lauderdale,FL,33311,South,Office Supplies,Storage,22.368,2,0.2,2.5164,October,2015,7 days,10-20%
2014-06-09,2014-06-14,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,CA,90032,West,Furniture,Furnishings,48.86,7,0.0,14.1694,June,2014,5 days,0%
2014-06-09,2014-06-14,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,CA,90032,West,Office Supplies,Art,7.28,4,0.0,1.9656,June,2014,5 days,0%
2014-06-09,2014-06-14,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,CA,90032,West,Technology,Phones,907.152,6,0.2,90.7152,June,2014,5 days,10-20%
2014-06-09,2014-06-14,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,CA,90032,West,Office Supplies,Binders,18.504,3,0.2,5.7825,June,2014,5 days,10-20%
2014-06-09,2014-06-14,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,CA,90032,West,Office Supplies,Appliances,114.9,5,0.0,34.47,June,2014,5 days,0%
2014-06-09,2014-06-14,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,CA,90032,West,Furniture,Tables,1706.184,9,0.2,85.3092,June,2014,5 days,10-20%
2014-06-09,2014-06-14,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,CA,90032,West,Technology,Phones,911.424,4,0.2,68.3568,June,2014,5 days,10-20%
2017-04-15,2017-04-20,Standard Class,AA-10480,Andrew Allen,Consumer,United States,Concord,NC,28027,South,Office Supplies,Paper,15.552,3,0.2,5.4432,April,2017,5 days,10-20%
2016-12-05,2016-12-10,Standard Class,IM-15070,Irene Maddox,Consumer,United States,Seattle,WA,98103,West,Office Supplies,Binders,407.976,3,0.2,132.5922,December,2016,5 days,10-20%
2015-11-22,2015-11-26,Standard Class,HP-14815,Harold Pawlan,Home Office,United States,Fort Worth,TX,76106,Central,Office Supplies,Appliances,68.81,5,0.8,-123.858,November,2015,4 days,>30%
2015-11-22,2015-11-26,Standard Class,HP-14815,Harold Pawlan,Home Office,United States,Fort Worth,TX,76106,Central,Office Supplies,Binders,2.544,3,0.8,-3.816,November,2015,4 days,>30%
2014-11-11,2014-11-18,Standard Class,PK-19075,Pete Kriz,Consumer,United States,Madison,WI,53711,Central,Office Supplies,Storage,665.88,6,0.0,13.3176,November,2014,7 days,0%
2014-05-13,2014-05-15,Second Class,AG-10270,Alejandro Grove,Consumer,United States,West Jordan,UT,84084,West,Office Supplies,Storage,55.5,2,0.0,9.99,May,2014,2 days,0%
2014-08-27,2014-09-01,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,CA,94109,West,Office Supplies,Art,8.56,2,0.0,2.4824,August,2014,5 days,0%
2014-08-27,2014-09-01,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,CA,94109,West,Technology,Phones,213.48,3,0.2,16.011,August,2014,5 days,10-20%
